row_id,request_count,peak_1s_requests,interarrival_cv,unique_path_ratio,dominant_route_ratio,unmatched_route_ratio,post_ratio,login_ratio,login_failure_ratio,backend_404_ratio,backend_5xx_ratio,mean_request_body_bytes,p95_upstream_duration_ms,endpoint_method_deviation
8827,13.0,1.0,0.368188942291453,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
8828,11.0,1.0,0.2448219422502708,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
8829,13.0,1.0,0.32254011400184057,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8830,12.0,1.0,0.22348152310025962,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8831,13.0,1.0,0.23367261350175844,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8832,15.0,1.0,0.3352412000449401,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
8833,15.0,1.0,0.37056905468836454,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
8834,6.0,1.0,0.009041140179417494,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8835,12.0,1.0,0.029322505964862588,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8836,6.0,1.0,0.005165212967252524,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8837,6.0,1.0,0.006243154051895581,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8838,6.0,1.0,0.007229368997913077,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8839,4.0,1.0,0.0025657119348457672,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8840,6.0,1.0,0.007925094869812691,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8841,4.0,1.0,0.004786852129384667,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8842,9.0,3.0,1.0191530080766547,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8843,13.0,3.0,1.279216231498296,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3
8844,9.0,4.0,0.7930900803101818,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8845,14.0,3.0,1.6132897724820445,0.07142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4
8846,14.0,5.0,1.6716011675334466,0.07142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.4
8847,11.0,4.0,1.2109370573006837,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1
8848,10.0,5.0,1.1121951272160324,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8849,9.0,5.0,1.2919518409974986,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
8850,12.0,1.0,0.4972997569701735,0.6666666666666666,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,9.0,0.0
8851,11.0,1.0,0.2823877074298801,0.8181818181818182,0.7272727272727273,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,10.0,0.0
8852,14.0,1.0,0.3096795761690418,0.5714285714285714,0.7142857142857143,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,2.0,0.0
8853,12.0,1.0,0.48193326579390044,0.8333333333333334,0.75,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,10.0,0.0
8854,12.0,1.0,0.3592132160989992,0.8333333333333334,0.75,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,9.0,0.0
