row_id,request_count,peak_1s_requests,interarrival_cv,unique_path_ratio,dominant_route_ratio,unmatched_route_ratio,post_ratio,login_ratio,login_failure_ratio,backend_404_ratio,backend_5xx_ratio,mean_request_body_bytes,p95_upstream_duration_ms,endpoint_method_deviation
315,12.0,1.0,0.3041236415905366,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
316,13.0,1.0,0.3171524661335071,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
317,13.0,1.0,0.27125985394477914,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
318,13.0,1.0,0.3107105864028164,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
319,12.0,1.0,0.30569878320814675,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
320,4.0,1.0,0.0051662094543350615,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
321,4.0,1.0,0.0038675336553701607,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
322,6.0,1.0,0.010898315912755266,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
323,4.0,1.0,0.006350451338200242,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
324,4.0,1.0,0.0022938869953294705,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
325,4.0,1.0,0.00823711523693839,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
326,12.0,1.0,0.02770599640344587,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4
327,6.0,1.0,0.01020290585179121,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2
328,12.0,3.0,1.4006456445600628,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1.0
329,8.0,3.0,1.3068132994657098,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.3333333333333333
330,4.0,1.0,0.3463356631135745,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
331,11.0,6.0,1.4794317935134285,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8333333333333334
332,7.0,4.0,0.996814966206813,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16666666666666666
333,4.0,1.0,0.21408450321511208,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
334,11.0,4.0,1.4929644558357722,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8333333333333334
335,17.0,5.0,1.7640456905507162,0.058823529411764705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.8333333333333333
336,11.0,1.0,0.3131267846069172,0.8181818181818182,0.7272727272727273,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,2.0,0.0
337,11.0,1.0,0.15435208617369967,0.7272727272727273,0.8181818181818182,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,9.0,0.125
338,10.0,1.0,0.3748827487087665,0.7,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,3.0,0.0
339,10.0,1.0,0.37862914971143746,0.8,0.7,0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.0,0.0
340,10.0,1.0,0.3182467051504042,0.7,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.0,0.0
341,11.0,1.0,0.3721481492679403,0.6363636363636364,0.7272727272727273,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,3.0,0.0
342,11.0,1.0,0.4139788200499382,0.7272727272727273,0.6363636363636364,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,10.0,0.0
343,9.0,1.0,0.2546258429711248,0.8888888888888888,0.7777777777777778,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,3.0,0.0
344,9.0,1.0,0.2973112254091506,1.0,1.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,2.0,0.0
345,8.0,1.0,0.0288101260744421,0.125,1.0,0.0,1.0,1.0,1.0,0.0,0.0,53.75,2.0,0.6
346,5.0,1.0,0.02606463898380797,0.8,0.6,0.6,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0
347,7.0,1.0,0.2125681703578526,1.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,2.0,0.0
348,10.0,1.0,0.28411997579335413,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,2.0,0.0
349,121.0,4.0,0.3483714246288225,0.008264462809917356,1.0,0.0,1.0,1.0,1.0,0.0,0.0,53.63636363636363,3.0,23.2
350,1215.0,23.0,0.3430090101204242,0.0008230452674897119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,134.0
351,95.0,3.0,0.36155836943417197,0.09473684210526316,0.47368421052631576,0.47368421052631576,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,6.0,0.0
352,49.0,2.0,0.3891680011293921,0.02040816326530612,1.0,0.0,0.0,0.0,0.0,0.0,0.32653061224489793,0.0,3.0,2.769230769230769
353,75.0,2.0,0.2816280171351688,0.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
354,11.0,1.0,0.33552146186022663,0.8181818181818182,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,11.0,0.1
355,7.0,1.0,0.2914283143563165,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,2.0,0.0
356,9.0,1.0,0.29868017211213926,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,3.0,0.0
357,8.0,1.0,0.3537442903508746,0.875,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,2.0,0.0
358,8.0,1.0,0.26237791164983876,0.75,1.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,2.0,0.0
359,7.0,1.0,0.23310791804521472,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,4.0,0.0
360,7.0,1.0,0.2563112514377509,1.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,4.0,0.0
361,7.0,1.0,0.2383260721668448,1.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,2.0,0.0
362,8.0,1.0,0.33847311008583597,0.875,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0,0.0
363,7.0,1.0,0.19735961936933474,1.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,3.0,0.0
364,8.0,1.0,0.3041401941550056,1.0,1.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,3.0,0.0
365,7.0,1.0,0.3346269559430217,1.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,2.0,0.0
366,7.0,1.0,0.2782524342740428,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
367,7.0,1.0,0.3172734202933996,1.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,2.0,0.0
368,7.0,1.0,0.27613088178436834,1.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,2.0,0.0
369,6.0,1.0,0.3704049970959754,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0
370,7.0,1.0,0.34443624578308313,1.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,2.0,0.0
371,8.0,1.0,0.3151002621777536,1.0,1.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,3.0,0.0
372,6.0,1.0,0.26190909834609244,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,2.0,0.0
373,8.0,1.0,0.5017964277504043,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
374,7.0,1.0,0.2564232618252394,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
375,14.0,1.0,0.32230631903616264,0.07142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.07692307692307693
376,12.0,1.0,0.21650691489355073,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
377,16.0,1.0,0.3987889483107097,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.23076923076923078
378,15.0,1.0,0.3823234366141412,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15384615384615385
