row_id,request_count,peak_1s_requests,interarrival_cv,unique_path_ratio,dominant_route_ratio,post_ratio,login_ratio,login_failure_ratio,backend_404_ratio,backend_5xx_ratio,mean_request_body_bytes,p95_upstream_duration_ms
62,1219.0,25.0,0.3847960128441506,0.0008203445447087777,1.0,0.0,0.0,0.0,,,,
63,95.0,3.0,0.32153894728830495,0.09473684210526316,0.5368421052631579,0.0,0.0,0.0,,,,
64,51.0,2.0,0.3230785024100054,0.0196078431372549,1.0,0.0,0.0,0.0,,,,
65,73.0,2.0,0.2352224919336864,0.2191780821917808,1.0,0.0,0.0,0.0,,,,
66,6.0,1.0,0.009532812008452378,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
67,5.0,1.0,0.2896601063828779,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
68,9.0,3.0,0.9951997861559674,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
69,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
70,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
71,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
72,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
73,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
74,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
75,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
76,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
77,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,
79,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
80,11.0,3.0,0.3438587233255848,0.09090909090909091,1.0,1.0,1.0,,,,,
81,106.0,22.0,0.3611139423569467,0.009433962264150943,1.0,0.0,0.0,0.0,,,,
82,10.0,3.0,0.3201185664683034,0.7,0.4,0.0,0.0,0.0,,,,
83,4.0,1.0,0.371322402912832,0.25,1.0,0.0,0.0,0.0,,,,
84,7.0,2.0,0.3170314719425814,0.7142857142857143,1.0,0.0,0.0,0.0,,,,
85,2.0,1.0,,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0
